"food_id","store_id","name","description","price","photo_url","calories","protein","vitamin","calcium"
1,1,소고기 미음,한우와 유기농 쌀로 만든 초기 이유식,5000.00,http://example.com/food1.jpg,50,5.00,0.10,10.00
2,1,닭고기 브로콜리 미음,국내산 닭고기와 유기농 브로콜리,5500.00,http://example.com/food2.jpg,60,6.00,0.20,15.00
3,2,한우 버섯죽,한우와 3가지 버섯이 들어간 영양죽,6000.00,http://example.com/food3.jpg,70,7.00,0.30,20.00
4,2,전복죽,완도산 전복으로 만든 보양죽,7000.00,http://example.com/food4.jpg,80,8.00,0.40,25.00
5,3,유기농 야채죽,"7가지 유기농 야채로 만든 순한 죽",5800.00,http://example.com/food5.jpg,55,4.00,0.50,12.00
6,3,대게살죽,동해안 대게살로 만든 부드러운 죽,7500.00,http://example.com/food6.jpg,85,9.00,0.20,30.00
7,4,아빠표 소고기 야채죽,아빠의 사랑으로 만든 영양만점 죽,6200.00,http://example.com/food7.jpg,75,7.00,0.40,22.00
8,4,닭고기 단호박죽,달콤한 단호박과 닭고기의 만남,6500.00,http://example.com/food8.jpg,80,6.00,0.60,18.00
9,5,매일 아침 소고기죽,매일 아침 신선하게 만드는 소고기죽,6000.00,http://example.com/food9.jpg,70,7.00,0.30,20.00
10,5,연어 아보카도죽,슈퍼푸드 연어와 아보카도로 만든 건강죽,7800.00,http://example.com/food10.jpg,90,10.00,0.80,35.00
11,6,맞춤 소고기 야채죽,아기에게 필요한 영양소를 맞춤 설계,6800.00,http://example.com/food11.jpg,78,8.00,0.50,28.00
12,6,두부 계란찜,부드러운 두부와 계란의 영양 간식,5500.00,http://example.com/food12.jpg,65,9.00,0.20,15.00
13,7,전통 소고기죽,전통 방식으로 정성껏 끓인 소고기죽,6300.00,http://example.com/food13.jpg,72,7.00,0.30,21.00
14,7,흑임자죽,국내산 흑임자로 만든 고소한 죽,5700.00,http://example.com/food14.jpg,68,5.00,0.10,40.00
15,8,깐깐 엄마 소고기죽,깐깐한 엄마의 마음으로 고른 최고의 재료,7000.00,http://example.com/food15.jpg,80,8.00,0.40,25.00
16,8,새우 야채 리조또,통통한 새우와 신선한 야채의 조화,8200.00,http://example.com/food16.jpg,95,11.00,0.60,38.00
17,9,자연주의 닭고기죽,자연에서 얻은 신선한 재료로 만든 닭고기죽,6700.00,http://example.com/food17.jpg,77,7.00,0.40,24.00
18,9,고구마 사과 퓨레,달콤한 고구마와 상큼한 사과의 만남,5300.00,http://example.com/food18.jpg,62,3.00,0.70,10.00
19,10,성장 단계별 소고기죽,아기의 성장 단계에 맞춰 만든 소고기죽,6900.00,http://example.com/food19.jpg,79,8.00,0.50,27.00
20,10,배도라지즙,감기 예방에 좋은 배와 도라지,4500.00,http://example.com/food20.jpg,40,1.00,0.90,5.00
21,11,친환경 야채수프,친환경 야채로 우려낸 맑은 수프,5200.00,http://example.com/food21.jpg,50,3.00,0.60,8.00
22,11,소고기 무국,맑고 담백한 국물 맛이 일품인 소고기 무국,6400.00,http://example.com/food22.jpg,73,7.00,0.30,18.00
23,12,정성 가득 닭백숙,푹 고아 만든 영양만점 닭백숙,8500.00,http://example.com/food23.jpg,100,12.00,0.40,30.00
24,12,아기 카레,맵지 않고 순한 아기 전용 카레,6800.00,http://example.com/food24.jpg,82,6.00,0.50,20.00
25,13,건강 소고기 덮밥,아기의 건강을 생각한 영양 덮밥,7200.00,http://example.com/food25.jpg,88,9.00,0.60,28.00
26,13,멸치 주먹밥,칼슘 왕 멸치가 들어간 고소한 주먹밥,5000.00,http://example.com/food26.jpg,60,5.00,0.20,50.00
27,14,사랑 가득 닭죽,사랑으로 끓여낸 따뜻한 닭죽,6600.00,http://example.com/food27.jpg,76,7.00,0.40,23.00
28,14,아기 짜장,짜지 않고 달콤한 아기 전용 짜장,6900.00,http://example.com/food28.jpg,85,7.00,0.50,22.00
29,15,프리미엄 한우 안심죽,최고급 한우 안심으로 만든 프리미엄 죽,9000.00,http://example.com/food29.jpg,110,13.00,0.50,35.00
30,15,유기농 과일 퓨레,제철 유기농 과일로 만든 신선한 퓨레,5800.00,http://example.com/food30.jpg,65,2.00,1.00,10.00
31,31,프리미엄 한우 미음,최고급 한우와 유기농 쌀로 만든 프리미엄 미음,6000.00,http://example.com/food31.jpg,60,6.00,0.20,12.00
32,31,유기농 닭고기 미음,유기농 닭가슴살과 채소로 만든 미음,6500.00,http://example.com/food32.jpg,70,7.00,0.30,18.00
33,32,새벽배송 야채죽,매일 새벽에 받은 신선한 야채로 만든 죽,7000.00,http://example.com/food33.jpg,80,5.00,0.60,25.00
34,32,한우 아보카도죽,영양만점 한우와 아보카도의 만남,8000.00,http://example.com/food34.jpg,90,8.00,0.50,30.00
35,33,영양사 추천 소고기죽,아기 전문 영양사가 설계한 균형잡힌 소고기죽,7800.00,http://example.com/food35.jpg,85,9.00,0.40,28.00
36,33,닭고기 연두부죽,부드러운 연두부와 닭고기의 조화,7200.00,http://example.com/food36.jpg,75,8.00,0.30,22.00
37,34,엄마정성 가득 야채죽,엄마의 정성을 가득 담아 끓인 야채죽,6800.00,http://example.com/food37.jpg,70,6.00,0.70,20.00
38,34,소고기 파프리카죽,색감도 예쁘고 영양도 좋은 파프리카 소고기죽,7500.00,http://example.com/food38.jpg,82,7.00,0.80,26.00
39,35,깐깐맘 선택 한우죽,깐깐한 엄마들이 선택한 최고급 한우죽,8500.00,http://example.com/food39.jpg,100,10.00,0.50,35.00
40,35,닭고기 퀴노아죽,슈퍼푸드 퀴노아와 닭고기의 만남,8200.00,http://example.com/food40.jpg,95,9.00,0.60,32.00
41,36,우리아기 첫 소고기죽,우리 아기의 첫 소고기죽으로 안성맞춤,7600.00,http://example.com/food41.jpg,88,8.00,0.40,29.00
42,36,두부 야채찜,부드러운 두부와 신선한 야채의 영양 간식,6900.00,http://example.com/food42.jpg,78,9.00,0.30,24.00
43,37,건강튼튼 닭고기죽,맛과 건강을 모두 잡은 닭고기죽,7300.00,http://example.com/food43.jpg,80,7.00,0.50,27.00
44,37,소고기 시금치죽,철분이 풍부한 시금치와 소고기의 만남,7700.00,http://example.com/food44.jpg,85,8.00,0.90,33.00
45,38,변호사 추천 한우죽,믿을 수 있는 변호사가 추천하는 한우죽,9000.00,http://example.com/food45.jpg,110,11.00,0.60,40.00
46,38,새우 애호박 리조또,달콤한 애호박과 통통한 새우의 조화,8800.00,http://example.com/food46.jpg,105,12.00,0.70,38.00
47,39,또주문 소고기야채죽,한번 맛보면 또 주문하게 되는 마성의 맛,8000.00,http://example.com/food47.jpg,92,9.00,0.50,31.00
48,39,닭고기 감자 퓨레,포슬포슬한 감자와 부드러운 닭고기,7400.00,http://example.com/food48.jpg,84,8.00,0.40,28.00
49,40,아가씨도 반한 닭죽,입맛 까다로운 아가씨도 반한 바로 그 닭죽,8300.00,http://example.com/food49.jpg,98,10.00,0.60,36.00
50,40,배숙,기관지에 좋은 배와 꿀의 만남,5500.00,http://example.com/food50.jpg,50,1.00,1.00,8.00
51,41,국민첫사랑표 소고기죽,국민 첫사랑의 마음으로 만든 소고기죽,8500.00,http://example.com/food51.jpg,102,10.00,0.50,37.00
52,41,사과 당근 퓨레,상큼한 사과와 달콤한 당근의 조화,6000.00,http://example.com/food52.jpg,65,2.00,1.20,15.00
53,42,김비서 추천 닭고기죽,김비서가 깐깐하게 고른 재료로 만든 닭고기죽,8400.00,http://example.com/food53.jpg,100,9.00,0.60,34.00
54,42,소고기 배추죽,달큰한 배추와 부드러운 소고기의 만남,7900.00,http://example.com/food54.jpg,90,8.00,0.70,30.00
55,43,좋은날엔 한우버섯죽,"좋은 날, 우리 아기에게 선물하는 영양죽",8800.00,http://example.com/food55.jpg,108,11.00,0.50,39.00
56,43,닭고기 완두콩죽,톡톡 터지는 완두콩과 닭고기의 만남,8100.00,http://example.com/food56.jpg,94,9.00,0.80,32.00
57,44,구르미 그린 소고기죽,달빛 아래 정성껏 끓여낸 소고기죽,8700.00,http://example.com/food57.jpg,106,10.00,0.60,38.00
58,44,단호박 퓨레,달콤하고 부드러운 영양 간식,5800.00,http://example.com/food58.jpg,62,3.00,0.90,18.00
59,45,여신강림 야채죽,이유식계의 여신이 만든 건강 야채죽,7900.00,http://example.com/food59.jpg,90,7.00,0.80,28.00
60,45,소고기 미역죽,철분과 칼슘이 풍부한 소고기 미역죽,8200.00,http://example.com/food60.jpg,96,9.00,0.70,40.00
61,46,경이로운 닭고기죽,경이로운 맛과 영양을 자랑하는 닭고기죽,8600.00,http://example.com/food61.jpg,104,10.00,0.60,37.00
62,46,한우 가지죽,부드러운 가지와 한우의 특별한 만남,8300.00,http://example.com/food62.jpg,98,9.00,0.80,34.00
63,47,상큼매력 소고기죽,상큼한 과일 퓨레를 곁들인 소고기죽,8900.00,http://example.com/food63.jpg,110,10.00,0.90,39.00
64,47,닭고기 아스파라거스죽,고급 식재료 아스파라거스를 넣은 닭고기죽,9200.00,http://example.com/food64.jpg,115,12.00,1.00,42.00
65,48,어하루 발견 닭죽,어쩌다 발견한 인생 닭죽,8800.00,http://example.com/food65.jpg,108,11.00,0.70,38.00
66,48,소고기 청경채죽,아삭한 청경채와 부드러운 소고기의 조화,8500.00,http://example.com/food66.jpg,102,10.00,0.80,36.00
67,49,환혼 극찬 한우죽,환혼도 극찬한 바로 그 한우죽,9500.00,http://example.com/food67.jpg,120,13.00,0.60,45.00
